 Drosophila Celegans
0 "gi|671162298|ref|NP_001288144.1| unextended, isoform H [Drosophila melanogaster]" "gi|392925573|ref|NP_508521.2| Protein C33D12.2 [Caenorhabditis elegans]"
18 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
19 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
20 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
21 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
22 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
23 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
24 "gi|669632476|ref|NP_001104152.3| Pp1-Y1 [Drosophila melanogaster]" "gi|392899343|ref|NP_501110.3| Protein ZC477.10 [Caenorhabditis elegans]"
25 "gi|665411080|ref|NP_001104401.2| scarecrow, isoform F [Drosophila melanogaster]" "gi|392920839|ref|NP_001256348.1| Protein CEH-27, isoform a [Caenorhabditis elegans]"
26 "gi|665411080|ref|NP_001104401.2| scarecrow, isoform F [Drosophila melanogaster]" "gi|392920841|ref|NP_001256349.1| Protein CEH-27, isoform b [Caenorhabditis elegans]"
27 "gi|665411078|ref|NP_001287637.1| scarecrow, isoform E [Drosophila melanogaster]" "gi|392920839|ref|NP_001256348.1| Protein CEH-27, isoform a [Caenorhabditis elegans]"
28 "gi|665411078|ref|NP_001287637.1| scarecrow, isoform E [Drosophila melanogaster]" "gi|392920841|ref|NP_001256349.1| Protein CEH-27, isoform b [Caenorhabditis elegans]"
29 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
30 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
31 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
32 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
33 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
34 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
35 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392902275|ref|NP_001255939.1| Protein C49C3.10, isoform a [Caenorhabditis elegans]"
36 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392902277|ref|NP_001255940.1| Protein C49C3.10, isoform b [Caenorhabditis elegans]"
37 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392901397|ref|NP_001255695.1| Protein MBK-2, isoform f [Caenorhabditis elegans]"
38 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|453232268|ref|NP_001263802.1| Protein MBK-2, isoform h [Caenorhabditis elegans]"
39 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392926420|ref|NP_509198.2| Protein C36B7.2 [Caenorhabditis elegans]"
40 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392901394|ref|NP_001255694.1| Protein MBK-2, isoform g [Caenorhabditis elegans]"
41 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392922458|ref|NP_001256726.1| Protein DKF-2, isoform d [Caenorhabditis elegans]"
42 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392922454|ref|NP_001256724.1| Protein DKF-2, isoform e [Caenorhabditis elegans]"
43 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392922456|ref|NP_001256725.1| Protein DKF-2, isoform f [Caenorhabditis elegans]"
44 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392892180|ref|NP_001254363.1| Protein MAX-2, isoform d [Caenorhabditis elegans]"
45 "gi|665411067|ref|NP_001287635.1| rolled, isoform I [Drosophila melanogaster]" "gi|392918123|ref|NP_001023760.2| Protein KIN-33, isoform c [Caenorhabditis elegans]"
46 "gi|665410710|ref|NP_001287154.1| alpha catenin, isoform B [Drosophila melanogaster]" "gi|453232506|ref|NP_001263867.1| Protein HMP-1, isoform f [Caenorhabditis elegans]"
47 "gi|665410710|ref|NP_001287154.1| alpha catenin, isoform B [Drosophila melanogaster]" "gi|453232502|ref|NP_001263865.1| Protein HMP-1, isoform d [Caenorhabditis elegans]"
48 "gi|665410710|ref|NP_001287154.1| alpha catenin, isoform B [Drosophila melanogaster]" "gi|453232504|ref|NP_001263866.1| Protein HMP-1, isoform e [Caenorhabditis elegans]"
49 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
50 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
51 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
52 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
53 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
54 "gi|665410705|ref|NP_001287153.1| casein kinase IIalpha, isoform E [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
55 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
56 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
57 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
58 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
59 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
60 "gi|665410703|ref|NP_001287152.1| casein kinase IIalpha, isoform G [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
61 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392894692|ref|NP_001254915.1| Protein CDK-12, isoform c [Caenorhabditis elegans]"
62 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392894690|ref|NP_001254914.1| Protein CDK-12, isoform b [Caenorhabditis elegans]"
63 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392894694|ref|NP_001254916.1| Protein CDK-12, isoform a [Caenorhabditis elegans]"
64 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
65 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
66 "gi|665410701|ref|NP_001287151.1| casein kinase IIalpha, isoform F [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
67 "gi|665410680|ref|NP_001287144.1| cysteine string protein, isoform F [Drosophila melanogaster]" "gi|392925903|ref|NP_001257014.1| Protein DNJ-14, isoform a [Caenorhabditis elegans]"
68 "gi|665410680|ref|NP_001287144.1| cysteine string protein, isoform F [Drosophila melanogaster]" "gi|392925905|ref|NP_001257015.1| Protein DNJ-14, isoform b [Caenorhabditis elegans]"
69 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899971|ref|NP_001255371.1| Protein WNK-1, isoform e [Caenorhabditis elegans]"
70 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899985|ref|NP_001255377.1| Protein WNK-1, isoform c [Caenorhabditis elegans]"
71 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899975|ref|NP_001255373.1| Protein WNK-1, isoform h [Caenorhabditis elegans]"
72 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899981|ref|NP_001255375.1| Protein WNK-1, isoform f [Caenorhabditis elegans]"
73 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899967|ref|NP_001255369.1| Protein WNK-1, isoform k [Caenorhabditis elegans]"
74 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899983|ref|NP_001255376.1| Protein WNK-1, isoform i [Caenorhabditis elegans]"
75 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899979|ref|NP_001255374.1| Protein WNK-1, isoform l [Caenorhabditis elegans]"
76 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899969|ref|NP_001255370.1| Protein WNK-1, isoform d [Caenorhabditis elegans]"
77 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899965|ref|NP_001255368.1| Protein WNK-1, isoform j [Caenorhabditis elegans]"
78 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899973|ref|NP_001255372.1| Protein WNK-1, isoform g [Caenorhabditis elegans]"
79 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392899963|ref|NP_001255367.1| Protein WNK-1, isoform m [Caenorhabditis elegans]"
80 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392921744|ref|NP_001256560.1| Protein PAR-1, isoform j [Caenorhabditis elegans]"
81 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392921738|ref|NP_001122967.2| Protein PAR-1, isoform d [Caenorhabditis elegans]"
82 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392921742|ref|NP_001256559.1| Protein PAR-1, isoform f [Caenorhabditis elegans]"
83 "gi|665410675|ref|NP_001262172.2| WNK homolog, isoform K [Drosophila melanogaster]" "gi|392921746|ref|NP_001256561.1| Protein PAR-1, isoform g [Caenorhabditis elegans]"
84 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899985|ref|NP_001255377.1| Protein WNK-1, isoform c [Caenorhabditis elegans]"
85 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899981|ref|NP_001255375.1| Protein WNK-1, isoform f [Caenorhabditis elegans]"
86 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899971|ref|NP_001255371.1| Protein WNK-1, isoform e [Caenorhabditis elegans]"
87 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899983|ref|NP_001255376.1| Protein WNK-1, isoform i [Caenorhabditis elegans]"
88 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899975|ref|NP_001255373.1| Protein WNK-1, isoform h [Caenorhabditis elegans]"
89 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899979|ref|NP_001255374.1| Protein WNK-1, isoform l [Caenorhabditis elegans]"
90 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899967|ref|NP_001255369.1| Protein WNK-1, isoform k [Caenorhabditis elegans]"
91 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899969|ref|NP_001255370.1| Protein WNK-1, isoform d [Caenorhabditis elegans]"
92 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899973|ref|NP_001255372.1| Protein WNK-1, isoform g [Caenorhabditis elegans]"
93 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899965|ref|NP_001255368.1| Protein WNK-1, isoform j [Caenorhabditis elegans]"
94 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392899963|ref|NP_001255367.1| Protein WNK-1, isoform m [Caenorhabditis elegans]"
95 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392921744|ref|NP_001256560.1| Protein PAR-1, isoform j [Caenorhabditis elegans]"
96 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392921738|ref|NP_001122967.2| Protein PAR-1, isoform d [Caenorhabditis elegans]"
97 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392921742|ref|NP_001256559.1| Protein PAR-1, isoform f [Caenorhabditis elegans]"
98 "gi|665410673|ref|NP_001262174.2| WNK homolog, isoform J [Drosophila melanogaster]" "gi|392921746|ref|NP_001256561.1| Protein PAR-1, isoform g [Caenorhabditis elegans]"
99 "gi|665410668|ref|NP_001287142.1| Rab26, isoform G [Drosophila melanogaster]" "gi|392902354|ref|NP_001255967.1| Protein 4R79.2, isoform b [Caenorhabditis elegans]"
100 "gi|665410668|ref|NP_001287142.1| Rab26, isoform G [Drosophila melanogaster]" "gi|392902352|ref|NP_001255966.1| Protein 4R79.2, isoform a [Caenorhabditis elegans]"
101 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
102 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
103 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
104 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
105 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
106 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
107 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
108 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
109 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
110 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
111 "gi|665410629|ref|NP_788544.2| retinal degeneration C, isoform H [Drosophila melanogaster]" "gi|392922922|ref|NP_001256850.1| Protein PPH-5, isoform b [Caenorhabditis elegans]"
112 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
113 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
114 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
115 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
116 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
117 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
118 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
119 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
120 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
121 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
122 "gi|665410627|ref|NP_788545.3| retinal degeneration C, isoform G [Drosophila melanogaster]" "gi|392922922|ref|NP_001256850.1| Protein PPH-5, isoform b [Caenorhabditis elegans]"
123 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392894051|ref|NP_001254836.1| Protein PEF-1, isoform c [Caenorhabditis elegans]"
124 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392922920|ref|NP_001256849.1| Protein PPH-5, isoform a [Caenorhabditis elegans]"
125 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392921845|ref|NP_506574.2| Protein F23B12.1 [Caenorhabditis elegans]"
126 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392920453|ref|NP_001256249.1| Protein GSP-1, isoform b [Caenorhabditis elegans]"
127 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392920455|ref|NP_001256250.1| Protein GSP-1, isoform a [Caenorhabditis elegans]"
128 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392900580|ref|NP_501992.2| Protein T25B9.2 [Caenorhabditis elegans]"
129 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392900492|ref|NP_001076658.2| Protein TAX-6, isoform c [Caenorhabditis elegans]"
130 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392900494|ref|NP_001021293.2| Protein TAX-6, isoform b [Caenorhabditis elegans]"
131 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392899862|ref|NP_501547.3| Protein C27B7.6 [Caenorhabditis elegans]"
132 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|453232270|ref|NP_502500.3| Protein F49E11.7 [Caenorhabditis elegans]"
133 "gi|665410625|ref|NP_536738.3| retinal degeneration C, isoform F [Drosophila melanogaster]" "gi|392922922|ref|NP_001256850.1| Protein PPH-5, isoform b [Caenorhabditis elegans]"
134 "gi|665410620|ref|NP_001287126.1| kugelei, isoform E [Drosophila melanogaster]" "gi|392894741|ref|NP_001254917.1| Protein CDH-4, isoform a [Caenorhabditis elegans]"
135 "gi|665410620|ref|NP_001287126.1| kugelei, isoform E [Drosophila melanogaster]" "gi|392894743|ref|NP_001254918.1| Protein CDH-4, isoform b [Caenorhabditis elegans]"
136 "gi|665410620|ref|NP_001287126.1| kugelei, isoform E [Drosophila melanogaster]" "gi|455835687|ref|NP_497340.4| Protein CDH-12 [Caenorhabditis elegans]"
137 "gi|665410620|ref|NP_001287126.1| kugelei, isoform E [Drosophila melanogaster]" "gi|453232098|ref|NP_500458.2| Protein F47C12.1 [Caenorhabditis elegans]"
138 "gi|665410616|ref|NP_001287124.1| CG7646, isoform C [Drosophila melanogaster]" "gi|453232854|ref|NP_001263968.1| Protein NCS-4, isoform c [Caenorhabditis elegans]"
139 "gi|665410616|ref|NP_001287124.1| CG7646, isoform C [Drosophila melanogaster]" "gi|392927023|ref|NP_509708.2| Protein NCS-4, isoform a [Caenorhabditis elegans]"
140 "gi|665410593|ref|NP_001262049.2| CG9449, isoform K [Drosophila melanogaster]" "gi|392919702|ref|NP_505167.2| Protein PHO-6 [Caenorhabditis elegans]"
141 "gi|665410593|ref|NP_001262049.2| CG9449, isoform K [Drosophila melanogaster]" "gi|392894331|ref|NP_497612.2| Protein PHO-9 [Caenorhabditis elegans]"
142 "gi|665410593|ref|NP_001262049.2| CG9449, isoform K [Drosophila melanogaster]" "gi|392920921|ref|NP_505983.2| Protein PHO-8 [Caenorhabditis elegans]"
143 "gi|665410571|ref|NP_001287113.1| reptin, isoform C [Drosophila melanogaster]" "gi|392920122|ref|NP_505567.2| Protein RUVB-1 [Caenorhabditis elegans]"
144 "gi|665410564|ref|NP_001287111.1| CG3797, isoform B [Drosophila melanogaster]" "gi|392895222|ref|NP_498344.3| Protein C23G10.6 [Caenorhabditis elegans]"
145 "gi|665410564|ref|NP_001287111.1| CG3797, isoform B [Drosophila melanogaster]" "gi|392900069|ref|NP_501680.2| Protein UGT-21 [Caenorhabditis elegans]"
146 "gi|665410492|ref|NP_001287091.1| troponin C at 73F, isoform C [Drosophila melanogaster]" "gi|392921169|ref|NP_001256429.1| Protein CAL-1, isoform a [Caenorhabditis elegans]"
147 "gi|665410492|ref|NP_001287091.1| troponin C at 73F, isoform C [Drosophila melanogaster]" "gi|392921167|ref|NP_001256428.1| Protein CAL-1, isoform b [Caenorhabditis elegans]"
148 "gi|665410477|ref|NP_001287088.1| CG9674, isoform I [Drosophila melanogaster]" "gi|392927004|ref|NP_509693.2| Protein W07E11.1, isoform a [Caenorhabditis elegans]"
